,fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,seed,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,prob_corte,ganancia,iteracion
20220522,204338,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,112,TRUE,"0,028172589518509","0,615767227075046",5719,1024,"0,017733567774931",13032000,110
20220522,204400,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,72,TRUE,"0,102770409963805","0,990672115808775",8000,164,"0,019845569927109",12815000,111
20220522,204432,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,86,TRUE,"0,093184394358388","0,355582002920026",7999,1024,"0,014408081192301",13212000,112
20220522,204458,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,68,TRUE,"0,088965501419541","0,200318028967292",3628,141,"0,015210445357072",13675000,113
20220522,204605,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,65,TRUE,"0,027013825484659","0,985351517969952",824,164,"0,014009593921559",13341000,114
20220522,204734,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,177,TRUE,"0,020668487406823","0,41068147757715",2393,823,"0,015541455130824",13533000,115
20220522,204851,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,144,TRUE,"0,034660632150516","0,407649074014634",924,488,"0,013600019009303",13591000,116
20220522,204944,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,429,TRUE,"0,033583221286653","0,278395490580148",607,17,"0,011180742242855",13401000,117
20220522,204957,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,18,TRUE,"0,299774830005427","0,999656421604409",5804,486,"0,016857416767766",12810000,118
20220522,205053,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,161,TRUE,"0,044927214386912","0,369376212578209",4282,130,"0,016466223673397",13327000,119
20220522,205109,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,9,TRUE,"0,295303309566831","0,388689657169546",1869,1024,"0,014284271385124",11967000,120
20220522,205223,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,205,TRUE,"0,034569698795062","0,444398029441258",3522,479,"0,01625484133558",13304000,121
20220522,205324,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,227,TRUE,"0,033795279686865","0,200896752050245",3304,245,"0,014875340914255",13476000,122
20220522,205336,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,72,TRUE,"0,295591713562798","0,232498521862973",3686,16,"0,016202622465863",13140000,123
20220522,205400,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,53,TRUE,"0,079892127450224","0,74181043648069",6410,787,"0,01653562276314",13322000,124
20220522,205412,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,21,TRUE,"0,299088769036253","0,998710283524939",6698,676,"0,017130617662924",12582000,125
20220522,205617,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,418,TRUE,"0,010073223371521","0,999671574424714",5501,148,"0,017302990557274",12792000,126
20220522,205641,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,139,TRUE,"0,030272632796226","0,97327574682899",2391,19,"0,013614866050254",13457000,127
20220522,205923,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,509,TRUE,"0,010320250116387","0,360341812814784",7642,16,"0,030716007427259",11660000,128
20220522,205934,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,44,TRUE,"0,135236828242936","0,200277889354235",3807,16,"0,015295748855764",13251000,129
